HDR,ROLLING SYSTEM DEMAND
VD,20180603232500,23380
VD,20180603233000,23280
VD,20180603233500,23332
VD,20180603234000,23317
VD,20180603234500,23187
VD,20180603235000,23091
VD,20180603235500,23054
VD,20180604000000,22961
VD,20180604000500,22957
VD,20180604001000,22981
VD,20180604001500,22949
VD,20180604002000,22898
VD,20180604002500,22833
VD,20180604003000,22794
VD,20180604003500,22848
VD,20180604004000,22830
VD,20180604004500,22786
VD,20180604005000,22761
VD,20180604005500,22708
VD,20180604010000,22631
VD,20180604010500,22510
VD,20180604011000,22406
VD,20180604011500,22382
VD,20180604012000,22329
VD,20180604012500,22275
VD,20180604013000,22247
VD,20180604013500,22380
VD,20180604014000,22358
VD,20180604014500,22250
VD,20180604015000,22126
VD,20180604015500,22019
VD,20180604020000,21920
VD,20180604020500,21934
VD,20180604021000,21881
VD,20180604021500,21871
VD,20180604022000,21855
VD,20180604022500,21817
VD,20180604023000,21825
VD,20180604023500,21847
VD,20180604024000,21883
VD,20180604024500,21895
VD,20180604025000,21898
VD,20180604025500,21859
VD,20180604030000,21857
VD,20180604030500,21947
VD,20180604031000,21907
VD,20180604031500,21812
VD,20180604032000,21781
VD,20180604032500,21740
VD,20180604033000,21659
VD,20180604033500,21654
VD,20180604034000,21648
VD,20180604034500,21587
VD,20180604035000,21604
VD,20180604035500,21582
VD,20180604040000,21574
VD,20180604040500,21942
VD,20180604041000,22438
VD,20180604041500,22665
VD,20180604042000,22717
VD,20180604042500,22832
VD,20180604043000,22969
VD,20180604043500,23076
VD,20180604044000,23081
VD,20180604044500,23203
VD,20180604045000,23337
VD,20180604045500,23566
VD,20180604050000,23645
VD,20180604050500,23773
VD,20180604051000,24007
VD,20180604051500,24206
VD,20180604052000,24402
VD,20180604052500,24694
VD,20180604053000,25104
VD,20180604053500,25537
VD,20180604054000,26130
VD,20180604054500,26584
VD,20180604055000,26889
VD,20180604055500,27289
VD,20180604060000,27696
VD,20180604060500,28078
VD,20180604061000,28771
VD,20180604061500,29217
VD,20180604062000,29588
VD,20180604062500,29933
VD,20180604063000,30230
VD,20180604063500,30458
VD,20180604064000,30685
VD,20180604064500,30953
VD,20180604065000,31146
VD,20180604065500,31338
VD,20180604070000,31465
VD,20180604070500,31636
VD,20180604071000,31997
VD,20180604071500,32115
VD,20180604072000,32287
VD,20180604072500,32353
VD,20180604073000,32396
VD,20180604073500,32343
VD,20180604074000,32340
VD,20180604074500,32339
VD,20180604075000,32390
VD,20180604075500,32523
VD,20180604080000,32607
VD,20180604080500,32662
VD,20180604081000,32734
VD,20180604081500,32690
VD,20180604082000,32706
VD,20180604082500,32701
VD,20180604083000,32727
VD,20180604083500,32718
VD,20180604084000,32705
VD,20180604084500,32683
VD,20180604085000,32721
VD,20180604085500,32772
VD,20180604090000,32700
VD,20180604090500,32685
VD,20180604091000,32697
VD,20180604091500,32663
VD,20180604092000,32705
VD,20180604092500,32699
VD,20180604093000,32672
VD,20180604093500,32626
VD,20180604094000,32637
VD,20180604094500,32596
VD,20180604095000,32546
VD,20180604095500,32447
VD,20180604100000,32484
VD,20180604100500,32526
VD,20180604101000,32502
VD,20180604101500,32497
VD,20180604102000,32442
VD,20180604102500,32420
VD,20180604103000,32441
VD,20180604103500,32443
VD,20180604104000,32481
VD,20180604104500,32430
VD,20180604105000,32432
VD,20180604105500,32471
VD,20180604110000,32453
VD,20180604110500,32506
VD,20180604111000,32533
VD,20180604111500,32482
VD,20180604112000,32486
VD,20180604112500,32494
VD,20180604113000,32463
VD,20180604113500,32402
VD,20180604114000,32293
VD,20180604114500,32170
VD,20180604115000,32022
VD,20180604115500,31954
VD,20180604120000,31918
VD,20180604120500,31884
VD,20180604121000,31917
VD,20180604121500,31871
VD,20180604122000,31779
VD,20180604122500,31687
VD,20180604123000,31659
VD,20180604123500,31763
VD,20180604124000,31805
VD,20180604124500,31724
VD,20180604125000,31674
VD,20180604125500,31577
VD,20180604130000,31551
VD,20180604130500,31592
VD,20180604131000,31640
VD,20180604131500,31618
VD,20180604132000,31580
VD,20180604132500,31602
VD,20180604133000,31654
VD,20180604133500,31635
VD,20180604134000,31594
VD,20180604134500,31483
VD,20180604135000,31499
VD,20180604135500,31467
VD,20180604140000,31443
VD,20180604140500,31464
VD,20180604141000,31476
VD,20180604141500,31462
VD,20180604142000,31489
VD,20180604142500,31542
VD,20180604143000,31602
VD,20180604143500,31785
VD,20180604144000,31913
VD,20180604144500,32034
VD,20180604145000,32173
VD,20180604145500,32349
VD,20180604150000,32340
VD,20180604150500,32501
VD,20180604151000,32544
VD,20180604151500,32516
VD,20180604152000,32564
VD,20180604152500,32713
VD,20180604153000,32826
VD,20180604153500,32884
VD,20180604154000,33017
VD,20180604154500,33160
VD,20180604155000,33372
VD,20180604155500,33486
VD,20180604160000,33603
VD,20180604160500,33831
VD,20180604161000,34004
VD,20180604161500,34322
VD,20180604162000,34465
VD,20180604162500,34457
VD,20180604163000,34521
VD,20180604163500,34552
VD,20180604164000,34431
VD,20180604164500,34466
VD,20180604165000,34465
VD,20180604165500,34443
VD,20180604170000,34453
VD,20180604170500,34525
VD,20180604171000,34491
VD,20180604171500,34444
VD,20180604172000,34407
VD,20180604172500,34465
VD,20180604173000,34437
VD,20180604173500,34439
VD,20180604174000,34454
VD,20180604174500,34389
VD,20180604175000,34325
VD,20180604175500,34195
VD,20180604180000,34190
VD,20180604180500,34284
VD,20180604181000,34199
VD,20180604181500,34053
VD,20180604182000,34040
VD,20180604182500,33830
VD,20180604183000,33860
VD,20180604183500,33964
VD,20180604184000,33762
VD,20180604184500,33561
VD,20180604185000,33462
VD,20180604185500,33363
VD,20180604190000,33337
VD,20180604190500,33467
VD,20180604191000,33303
VD,20180604191500,33075
VD,20180604192000,32986
VD,20180604192500,32904
VD,20180604193000,32752
VD,20180604193500,32744
VD,20180604194000,32656
VD,20180604194500,32377
VD,20180604195000,32398
VD,20180604195500,32422
VD,20180604200000,32298
VD,20180604200500,32454
VD,20180604201000,32032
VD,20180604201500,31923
VD,20180604202000,31876
VD,20180604202500,31839
VD,20180604203000,31567
VD,20180604203500,31564
VD,20180604204000,31401
VD,20180604204500,31022
VD,20180604205000,30903
VD,20180604205500,30730
VD,20180604210000,30450
VD,20180604210500,30332
VD,20180604211000,30067
VD,20180604211500,29724
VD,20180604212000,29368
VD,20180604212500,29001
VD,20180604213000,28727
VD,20180604213500,28496
VD,20180604214000,28126
VD,20180604214500,27877
VD,20180604215000,27552
VD,20180604215500,27277
VD,20180604220000,26932
VD,20180604220500,26653
VD,20180604221000,26370
VD,20180604221500,26269
VD,20180604222000,26301
VD,20180604222500,26083
VD,20180604223000,25920
VD,20180604223500,25675
VD,20180604224000,25414
VD,20180604224500,25130
VD,20180604225000,24897
VD,20180604225500,24666
VD,20180604230000,24606
VD,20180604230500,24408
VD,20180604231000,24427
VD,20180604231500,24254
VD,20180604232000,24051
VD,20180604232500,23937
VD,20180604233000,23789
VD,20180604233500,23666
VD,20180604234000,23545
VD,20180604234500,23447
VD,20180604235000,23368
VD,20180604235500,23243
VD,20180605000000,23229
VD,20180605000500,23355
VD,20180605001000,23328
VD,20180605001500,23259
VD,20180605002000,23173
